features,split,repeat,fold,auc,n_test
根拠の強い39項目（class 1）,人ごとに10分割,3,8,0.5183497536945814,649
根拠の強い39項目（class 1）,人ごとに10分割,3,9,0.5302091278921942,730
根拠の強い39項目（class 1）,人ごとに10分割,3,pooled,0.46434329928017404,6181
根拠の強い39項目（class 1）,人ごとに10分割,4,0,0.4609665427509294,590
根拠の強い39項目（class 1）,人ごとに10分割,4,1,0.48476489028213166,635
根拠の強い39項目（class 1）,人ごとに10分割,4,2,0.3539125327550375,569
根拠の強い39項目（class 1）,人ごとに10分割,4,3,0.5224730666300692,553
根拠の強い39項目（class 1）,人ごとに10分割,4,4,0.5447497949138638,513
根拠の強い39項目（class 1）,人ごとに10分割,4,5,0.42939895470383277,671
根拠の強い39項目（class 1）,人ごとに10分割,4,6,0.5697369188590096,615
根拠の強い39項目（class 1）,人ごとに10分割,4,7,0.44735659727422494,673
根拠の強い39項目（class 1）,人ごとに10分割,4,8,0.37862272101823186,718
根拠の強い39項目（class 1）,人ごとに10分割,4,9,0.5671085926084323,644
根拠の強い39項目（class 1）,人ごとに10分割,4,pooled,0.4745480412173279,6181
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,0,0.7699943809702191,619
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,1,0.6948557447890188,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,2,0.706469242501271,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,3,0.7787080579562786,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,4,0.7347960091509913,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,5,0.756942679206914,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,6,0.828768429079817,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,7,0.752165619038684,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,8,0.7311348781937017,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,9,0.7143884667104481,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,0,pooled,0.7464141278312922,6181
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,0,0.7985421739401886,619
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,1,0.7402452974072191,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,2,0.7928793848500255,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,3,0.7474898322318251,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,4,0.7449002287747839,618
